id,badwords
1,jigaboo
2,mound of venus
3,asslover
4,s&m
5,queaf
6,whitetrash
7,meatrack
8,ra8s
9,pimp
10,urine
11,whit
12,randy
13,herpes
14,niglet
15,narcotic
16,pudboy
17,rimming
18,boner
19,pornography
20,poop chute
21,israel
22,dong
23,slanteye
24,muffdiving
25,jiggabo
26,assassination
27,peepshpw
28,popimp
29,girl on
30,testicles
31,laid
32,molestor
33,peni5
34,tranny
35,barface
36,hell
37,arsehole
38,pissed
39,sixsixsix
40,execute
41,shitty 
42,conspiracy
43,hamas
44,cunilingus
45,bitcher
46,muslim
47,pee
48,niggled
49,muffindiver
50,cocksman
51,scag
52,aroused
53,niggling
54,fingerfucker 
55,nlggor
56,niggaz
57,assfuck
58,slant
59,urinate
60,mothafucked 
61,fungus
62,retard
63,gummer
64,venus mound
65,alla
66,spaghettinigger
67,piss
68,mickeyfinn
69,fuckers
70,jizzim
71,tramp
72,quashie
73,prince albert piercing
74,hardon
75,menage a trois
76,bukkake
77,shag
78,australian
79,raped
80,buggery
81,deth
82,weenie
83,lickme
84,reverse cowgirl
85,tonguetramp
86,cum
87,copulate
88,gun
89,schlong
90,cunn
91,damnit
92,crackpipe
93,buttmuncher
94,cameltoe
95,camgirl
96,hotpussy
97,cuntfucker
98,slave
99,sluts
100,ball licking
101,hentai
102,jackshit
103,dickman
104,doo-doo
105,gook
106,crimes
107,ho
108,bomd
109,shitdick
110,slapper
111,urinary
112,tantra
113,nookie
114,fuckedup
115,gubba
116,niggur
117,cybersex
118,dicklicker
119,cunillingus
120,hitlerism
121,butt
122,triplex
123,busty
124,dicklick
125,kunilingus
126,asian
127,tonguethrust
128,fistfucking 
129,assmonkey
130,criminal
131,cockknob
132,koon
133,children's
134,shat
135,footfucker
136,blonde action
137,spitter
138,weapon
139,dive
140,cumm
141,cuntlicking 
142,sexy-slim
143,lemon party
144,vibrater
145,upskirt
146,jijjiboo
147,fuckfriend
148,pthc
149,mothafucka
150,sniggered
151,buttfuckers
152,nutfucker
153,peehole
154,taboo
155,erection
156,nudity
157,bast
158,lesbayn
159,hummer
160,shortfuck
161,cherrypopper
162,adult
163,palestinian
164,pussylips
165,nooner
166,how to kill
167,blumpkin
168,stiffy
169,piss pig
170,beastiality
171,latin
172,butchbabes
173,spunk
174,gross
175,xx
176,crackwhore
177,butt-fuckers
178,kraut
179,pooping
180,style doggy
181,lactate
182,fecal
183,rusty trombone
184,wrinkled starfish
185,spigotty
186,dink
187,clogwog
188,whitey
189,dies
190,radical
191,slaughter
192,bollick
193,sodomite
194,balls
195,nimphomania
196,ball gag
197,poof
198,muff diver
199,jail bait
200,beaver
201,asspirate
202,bareback
203,pimpjuice
204,ballsack
205,bi-sexual
206,torture
207,limey
208,nookey
209,breastman
210,loser
211,kills
212,lesbo
213,beatyourmeat
214,lovemaking
215,munt
216,clitoris
217,fornicate
218,wet dream
219,double penetration
220,missionary position
221,bugger
222,lovejuice
223,date rape
224,eatballs
225,handjob
226,nlgger
227,dixiedyke
228,junglebunny
229,sonofabitch
230,goddamned
231,deep throat
232,jism
233,assclown
234,shitforbrains
235,screwyou
236,ethiopian
237,nastyslut
238,gang bang
239,lubejob
240,tied up
241,make me come
242,rimjob
243,sexfarm
244,tight white
245,lezbe
246,lezbo
247,tribadism
248,butt-bang
249,asskiss
250,sadism
251,biteme
252,angie
253,abortion
254,murderer
255,motherfucker
256,sextoy
257,2g1c
258,doggy style
259,cunntt
260,cooly
261,ball sack
262,sodom
263,slideitin
264,fudge packer
265,fatfuck
266,god
267,gipp
268,communist
269,felatio 
270,libido
271,xtc
272,cuntfuck
273,niggardly
274,fuckface
275,faggot
276,protestant
277,trailertrash
278,headfuck
279,shav
280,dickweed
281,refugee
282,trannie
283,giant cock
284,sexhound
285,slut
286,dead
287,titlover
288,wank
289,moslem
290,krappy
291,black cock
292,idiot
293,tortur
294,erotic
295,donkey punch
296,dirty pillows
297,cockcowboy
298,sucker
299,cocktail
300,doom
301,hymen
302,vibr
303,terrorist
304,mufflikcer
305,phonesex
306,teste
307,pisshead
308,slime
309,brea5t
310,tea bagging
311,slutt
312,cumbubble
313,blackout
314,hijacking
315,premature
316,sextogo
317,arse
318,racist
319,jimfish
320,flydye
321,juggs
322,jade
323,wigger
324,niggard's
325,jigg
326,dumb
327,devilworshipper
328,firing
329,gatorbait
330,murder
331,chinese
332,fastfuck
333,spik
334,nuke
335,bastinado
336,kondum
337,pansy
338,destroy
339,ikey
340,women rapping
341,titfucker
342,crime
343,swinger
344,shitola
345,killer
346,fart
347,booby
348,pimpsimp
349,coon
350,strap on
351,zigabo
352,faith
353,bisexual
354,gangsta
355,teat
356,boobies
357,kafir
358,dp action
359,jugs
360,husky
361,homoerotic
362,twinkie
363,spooge
364,kink
365,sleezebag
366,gay
367,homo
368,slutwhore
369,dickless
370,cumfest
371,israeli
372,fuk
373,niggardliness
374,nigr
375,goddamit
376,sandnigger
377,dope
378,insest
379,foreskin
380,acrotomophilia
381,dumbbitch
382,fuckmonkey
383,pubiclice
384,cyberslimer
385,titfuck
386,cummer
387,kumquat
388,one guy one jar
389,fire
390,sexo
391,carruth
392,cocktease
393,trisexual
394,pric
395,rabbi
396,gypp
397,cunnilingus
398,dipshit
399,welfare
400,arabs
401,transvestite
402,tnt
403,penile
404,mothafuckings
405,peckerwood
406,enemy
407,negroid
408,genital
409,gangbanger
410,queef
411,strapon
412,thicklips
413,female squirting
414,flydie
415,crabs
416,christ
417,ejaculate
418,carpet muncher
419,lucifer
420,butchdyke
421,vatican
422,skumbag
423,horseshit
424,eunuch
425,dickforbrains
426,bondage
427,kumbullbe
428,crack
429,niggerhole
430,niggard
431,rosy palm
432,assranger
433,beat-off
434,bastard 
435,asspuppies
436,jiggerboo
437,cuntlick 
438,pommie
439,doggie style
440,lezz
441,jesuschrist
442,nazi
443,feltch
444,chode
445,pleasure chest
446,wetback
447,zipperhead
448,necro
449,goddamnmuthafucker
450,whiskeydick
451,slopy
452,executioner
453,colored
454,ethnic
455,turnon
456,hole
457,nofuckingway
458,mastrabator
459,jack off
460,orgies
461,pisses 
462,blow j
463,criminals
464,cockqueen
465,tosser
466,snownigger
467,holestuffer
468,dipstick
469,mofo
470,nipplering
471,minority
472,italiano
473,palesimian
474,poo
475,horn
476,rape
477,genitals
478,conservative
479,jebus
480,bullcrap
481,dick
482,cumqueen
483,spread legs
484,cancer
485,kaffir
486,mocky
487,suckmytit
488,vorarephilia
489,naked
490,shited
491,nigg
492,spermhearder
493,whore
494,african
495,disease
496,lovebone
497,spreadeagle
498,coprolagnia
499,humping
500,suicide girls
501,bong
502,pole smoker
503,shrimping
504,gin
505,purinapricness
506,sexslave
507,big knockers
508,iblowu
509,pissin 
510,skank
511,lotion
512,asshole
513,easyslut
514,mothafucker
515,whiz
516,lsd
517,cocksucked 
518,hosejob
519,wanker
520,cumjockey
521,eat my ass
522,lovegoo
523,whites
524,propaganda
525,sexwhore
526,cunt
527,welcher
528,how to murder
529,scum
530,phuked
531,suckoff
532,shithapens
533,drug
534,auto erotic
535,sultry women
536,barenaked
537,wetspot
538,sixtynine
539,wrapping men
540,buttplug
